userId,bookId,borrowDate,returnDate,dueDate,comments,status,createdAt,updatedAt
692a0da043b25c480d9cbb6c,68f72e0feb25b036b77ff55a,"{""$date"":""2025-09-27T03:45:16.000Z""}","{""$date"":""2025-02-14T01:10:58.000Z""}",mongo::iso,In congue.,returned,"{""$date"":""2025-09-27T03:45:16.000Z""}","{""$date"":""2025-09-27T03:45:16.000Z""}"
692a0da043b25c480d9cbb52,68f72e0feb25b036b77ff6f9,"{""$date"":""2025-08-07T16:37:40.000Z""}","{""$date"":""2025-02-03T07:14:37.000Z""}",mongo::iso,Nulla justo.,active,"{""$date"":""2025-08-07T16:37:40.000Z""}","{""$date"":""2025-08-07T16:37:40.000Z""}"
692a0da043b25c480d9cbb94,68f72e0feb25b036b77ff623,"{""$date"":""2025-07-17T18:03:23.000Z""}","{""$date"":""2025-09-15T01:41:43.000Z""}",mongo::iso,In hac habitasse platea dictumst.,returned,"{""$date"":""2025-07-17T18:03:23.000Z""}","{""$date"":""2025-07-17T18:03:23.000Z""}"
692a0da043b25c480d9cbb9c,68f72e0feb25b036b77ff560,"{""$date"":""2025-04-14T13:15:32.000Z""}","{""$date"":""2025-11-16T17:38:26.000Z""}",mongo::iso,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",returned,"{""$date"":""2025-04-14T13:15:32.000Z""}","{""$date"":""2025-04-14T13:15:32.000Z""}"
692a0da043b25c480d9cbb91,68f72e0feb25b036b77ff7c4,"{""$date"":""2025-11-12T08:38:11.000Z""}","{""$date"":""2025-01-21T02:34:04.000Z""}",mongo::iso,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",returned,"{""$date"":""2025-11-12T08:38:11.000Z""}","{""$date"":""2025-11-12T08:38:11.000Z""}"
692a0da043b25c480d9cbba3,68f72e0feb25b036b77ff4b4,"{""$date"":""2025-02-14T00:30:01.000Z""}","{""$date"":""2025-11-18T07:12:07.000Z""}",mongo::iso,Cras non velit nec nisi vulputate nonummy.,returned,"{""$date"":""2025-02-14T00:30:01.000Z""}","{""$date"":""2025-02-14T00:30:01.000Z""}"
692a0da043b25c480d9cbb75,68f72e0feb25b036b77ff81e,"{""$date"":""2025-07-01T17:26:09.000Z""}","{""$date"":""2025-11-11T07:14:58.000Z""}",mongo::iso,Vivamus vestibulum sagittis sapien.,active,"{""$date"":""2025-07-01T17:26:09.000Z""}","{""$date"":""2025-07-01T17:26:09.000Z""}"
692a0da043b25c480d9cbb66,68f72e0feb25b036b77ff6ad,"{""$date"":""2025-11-26T03:42:35.000Z""}","{""$date"":""2025-08-27T17:18:43.000Z""}",mongo::iso,Sed ante.,returned,"{""$date"":""2025-11-26T03:42:35.000Z""}","{""$date"":""2025-11-26T03:42:35.000Z""}"
692a0da043b25c480d9cbb68,68f72e0feb25b036b77ff659,"{""$date"":""2025-10-17T04:15:41.000Z""}","{""$date"":""2025-08-18T19:06:34.000Z""}",mongo::iso,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",returned,"{""$date"":""2025-10-17T04:15:41.000Z""}","{""$date"":""2025-10-17T04:15:41.000Z""}"
692a0da043b25c480d9cbb57,68f72e0feb25b036b77ff752,"{""$date"":""2025-08-01T02:54:04.000Z""}","{""$date"":""2025-04-08T11:13:00.000Z""}",mongo::iso,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",active,"{""$date"":""2025-08-01T02:54:04.000Z""}","{""$date"":""2025-08-01T02:54:04.000Z""}"
