title,description,coverImage,author,isbn,publisher,year,category,location,isHighlighted,isBorrowed,createdAt,updatedAt
Vestibulum sed magna at nunc commodo placerat.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Nickie Hodge,676292639-8,Daniel-Gutmann,2007,Literature,Shelf A1,false,true,"{""$date"":""2024-12-02T14:13:07.000Z""}","{""$date"":""2024-12-02T14:13:07.000Z""}"
Ut tellus.,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Beth Julyan,480179270-7,"Kautzer, Jenkins and Wehner",1995,Psychology,Shelf C1,false,false,"{""$date"":""2025-09-02T01:50:32.000Z""}","{""$date"":""2025-09-02T01:50:32.000Z""}"
Nunc nisl.,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Darcie Chadburn,284409608-5,Conroy Group,2011,Environment,Shelf A2,true,false,"{""$date"":""2025-05-16T07:35:26.000Z""}","{""$date"":""2025-05-16T07:35:26.000Z""}"
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Parke Errington,538355649-4,"Hermiston, Lind and Rippin",1992,Philosophy,Shelf C1,true,true,"{""$date"":""2025-09-09T23:53:13.000Z""}","{""$date"":""2025-09-09T23:53:13.000Z""}"
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,George Huxley,236011141-8,"Bogisich, Spencer and Littel",1984,Psychology,Shelf C3,true,false,"{""$date"":""2025-03-06T08:38:28.000Z""}","{""$date"":""2025-03-06T08:38:28.000Z""}"
Praesent blandit lacinia erat.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Verena Harwin,919757823-1,Glover-Towne,1964,Education,Shelf A1,false,false,"{""$date"":""2025-09-28T15:36:51.000Z""}","{""$date"":""2025-09-28T15:36:51.000Z""}"
Curabitur convallis.,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Maybelle Manuely,253761232-9,Harris-Ryan,1992,Arts,Shelf C2,false,true,"{""$date"":""2025-08-27T04:17:31.000Z""}","{""$date"":""2025-08-27T04:17:31.000Z""}"
Praesent blandit lacinia erat.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Brod McNae,675141786-1,"Corkery, Gulgowski and Sawayn",1985,Psychology,Shelf C1,true,false,"{""$date"":""2025-05-26T16:27:27.000Z""}","{""$date"":""2025-05-26T16:27:27.000Z""}"
Morbi vel lectus in quam fringilla rhoncus.,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Rhona Carolan,755749898-4,"Hamill, Yundt and Kuhlman",2008,Science,Shelf A3,false,true,"{""$date"":""2025-04-02T17:57:35.000Z""}","{""$date"":""2025-04-02T17:57:35.000Z""}"
Suspendisse ornare consequat lectus.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Myrtia Gilbanks,817113926-4,"Krajcik, Muller and Fay",1999,Sociology,Shelf B3,false,false,"{""$date"":""2025-07-05T20:40:47.000Z""}","{""$date"":""2025-07-05T20:40:47.000Z""}"
